LEAGUE	Player	win%	O/U	line #	stat	win:lose ratio
NBA	Theo Maledon	0.9069767441860465	UNDER	8.5	ast	9.75
NBA	Shake Milton	0.9066666666666666	UNDER	24.5	pts+ast	9.714285714285714
NBA	Shake Milton	0.9066666666666666	UNDER	28.5	pts+trb+ast	9.714285714285714
NBA	Ricky Rubio	0.90625	UNDER	9.5	pts	9.666666666666666
NBA	Kris Dunn	0.9047619047619048	UNDER	9.5	ast	9.5
NBA	Kris Dunn	0.9047619047619048	UNDER	28.5	pts+ast	9.5
NBA	Kris Dunn	0.9047619047619048	UNDER	25.5	pts+trb	9.5
NBA	Kris Dunn	0.9047619047619048	UNDER	35.5	pts+trb+ast	9.5
NBA	Corey Kispert	0.9041095890410958	UNDER	17.5	pts	9.428571428571429
NBA	Corey Kispert	0.9041095890410958	UNDER	19.5	pts+ast	9.428571428571429
NBA	Blake Griffin	0.9	UNDER	9.5	pts	9.0
NBA	Blake Griffin	0.9	UNDER	12.5	pts+ast	9.0
NBA	Blake Griffin	0.9	UNDER	19.5	pts+trb+ast	9.0
NBA	Blake Griffin	0.875	UNDER	7	trb	8.75
NBA	Jock Landale	0.8970588235294118	UNDER	14.5	pts	8.714285714285715
NBA	Shaedon Sharpe	0.8734177215189873	UNDER	5	trb	8.625
NBA	Tyler Herro	0.8939393939393939	OVER	15.5	pts+trb	8.428571428571429
NBA	Shake Milton	0.88	UNDER	16	pts	8.25
NBA	Tyler Herro	0.8636363636363636	OVER	19	pts+trb+ast	8.142857142857142
NBA	Jaden Ivey	0.8904109589041096	UNDER	29.5	pts+ast	8.125
NBA	Sam Hauser	0.8227848101265823	UNDER	5	trb	8.125
NBA	Mike Muscala	0.8888888888888888	UNDER	11.5	pts	8.0
NBA	Mike Muscala	0.8888888888888888	UNDER	13.5	pts+ast	8.0
NBA	Mike Muscala	0.8888888888888888	UNDER	19.5	pts+trb+ast	8.0
NBA	Corey Kispert	0.863013698630137	UNDER	21	pts+trb	7.875000000000001
NBA	JT Thor	0.8823529411764706	UNDER	1.5	fg3	7.5
NBA	JT Thor	0.8823529411764706	UNDER	1.5	tov	7.5
NBA	Lamar Stevens	0.8524590163934426	UNDER	10	pts	7.428571428571428
NBA	Shake Milton	0.88	UNDER	20.5	pts+trb	7.333333333333334
NBA	Tyler Herro	0.8787878787878788	OVER	15.5	pts+ast	7.25
NBA	Corey Kispert	0.8767123287671232	UNDER	22.5	pts+trb+ast	7.111111111111111
NBA	Jaden Ivey	0.8767123287671232	UNDER	33.5	pts+trb+ast	7.111111111111111
NBA	Ricky Rubio	0.875	UNDER	6.5	ast	7.0
NBA	Jaden Springer	0.8666666666666667	UNDER	1.5	blk+stl	6.5
NBA	Mike Muscala	0.7222222222222222	UNDER	6	trb	6.5
NBA	Jarrett Allen	0.8656716417910447	OVER	6.5	trb	6.444444444444444
NBA	Jaden McDaniels	0.8636363636363636	UNDER	1.5	blk+stl	6.333333333333334
NBA	Jaden McDaniels	0.8636363636363636	UNDER	12.5	pts	6.333333333333334
NBA	Jaden McDaniels	0.8636363636363636	UNDER	14.5	pts+ast	6.333333333333334
NBA	Jalen McDaniels	0.8636363636363636	UNDER	1.5	fg3	6.333333333333334
NBA	Jalen McDaniels	0.8636363636363636	UNDER	1.5	tov	6.333333333333334
NBA	Onyeka Okongwu	0.8607594936708861	UNDER	25.5	pts+trb+ast	6.1818181818181825
NBA	Onyeka Okongwu	0.8354430379746836	UNDER	24	pts+trb	6.0
NBA	Blake Griffin	0.85	UNDER	16.5	pts+trb	5.666666666666667
NBA	Jaden Ivey	0.8493150684931506	UNDER	2.5	fg3	5.636363636363637
NBA	Jaden Ivey	0.8493150684931506	UNDER	22.5	pts	5.636363636363637
NBA	Tyler Herro	0.8484848484848485	OVER	12.5	pts	5.6
NBA	Onyeka Okongwu	0.8481012658227848	UNDER	15.5	pts	5.583333333333333
NBA	Jordan Goodwin	0.819672131147541	UNDER	6	trb	5.555555555555556
NBA	Josh Okogie	0.8450704225352113	UNDER	16.5	pts+ast	5.454545454545455
NBA	Onyeka Okongwu	0.8227848101265823	UNDER	16	pts+ast	5.416666666666667
NBA	Shake Milton	0.84	UNDER	1.5	fg3	5.25
NBA	Josh Okogie	0.8028169014084507	UNDER	8	trb+ast	5.1818181818181825
NBA	Immanuel Quickley	0.8375	UNDER	30.5	pts+trb+ast	5.153846153846154
NBA	Evan Mobley	0.8333333333333334	OVER	6.5	trb	5.000000000000001
NBA	Mike Muscala	0.8333333333333334	UNDER	17.5	pts+trb	5.000000000000001
NBA	Payton Pritchard	0.9787234042553191	UNDER	17.5	pts	46.0
NBA	Payton Pritchard	0.9787234042553191	UNDER	22.5	pts+ast	46.0
NBA	Payton Pritchard	0.9787234042553191	UNDER	21.5	pts+trb	46.0
NBA	Payton Pritchard	0.9787234042553191	UNDER	27.5	pts+trb+ast	46.0
NBA	Killian Hayes	0.6533333333333333	UNDER	2	ft	4.9
NBA	Immanuel Quickley	0.825	UNDER	26.5	pts+ast	4.714285714285714
NBA	Immanuel Quickley	0.825	UNDER	26.5	pts+trb	4.714285714285714
NBA	Shake Milton	0.7466666666666667	UNDER	4	trb	4.666666666666667
NBA	Jaden Ivey	0.821917808219178	UNDER	26.5	pts+trb	4.615384615384615
NBA	Cory Joseph	0.819672131147541	UNDER	13.5	pts+trb	4.545454545454546
NBA	Josh Okogie	0.8169014084507042	UNDER	13.5	pts	4.461538461538462
NBA	Josh Okogie	0.8169014084507042	UNDER	21.5	pts+trb+ast	4.461538461538462
NBA	Dean Wade	0.813953488372093	UNDER	7.5	pts	4.375
NBA	Onyeka Okongwu	0.7215189873417721	UNDER	9	trb	4.071428571428571
NBA	Immanuel Quickley	0.8	UNDER	21.5	pts	4.0
NBA	Sam Hauser	0.9746835443037974	UNDER	8.5	trb+ast	38.5
NBA	Jock Landale	0.9705882352941176	UNDER	26.5	pts+trb+ast	33.0
NBA	Josh Okogie	0.7887323943661971	UNDER	18.5	pts+trb	3.733333333333333
NBA	Jordan Goodwin	0.7868852459016393	UNDER	1.5	stl	3.6923076923076925
NBA	Onyeka Okongwu	0.7848101265822784	UNDER	10.5	trb+ast	3.6470588235294112
NBA	Mike Muscala	0.7777777777777778	UNDER	0.5	blk	3.5000000000000004
NBA	Blake Griffin	0.775	UNDER	0.5	blk	3.4444444444444446
NBA	Lamar Stevens	0.7213114754098361	UNDER	5	trb	3.384615384615385
NBA	Quentin Grimes	0.7714285714285715	UNDER	14.5	pts	3.3750000000000004
NBA	Jaden Ivey	0.7397260273972602	UNDER	7	ast	3.375
